Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:25:03.895000,PIA,0 days 00:01:39.333000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:26:43.610000,PIA,0 days 00:01:39.715000,12.0,1.0,MEDIUM,12.0,12,False
0 days 01:28:25.010000,PIA,0 days 00:01:41.400000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:30:38.857000,PIA,0 days 00:02:13.847000,14.0,2.0,HARD,1.0,167,False
0 days 01:32:17.262000,PIA,0 days 00:01:38.405000,15.0,2.0,HARD,2.0,1,True
0 days 01:33:55.702000,PIA,0 days 00:01:38.440000,16.0,2.0,HARD,3.0,1,False
0 days 01:35:34.371000,PIA,0 days 00:01:38.669000,17.0,2.0,HARD,4.0,1,False
0 days 01:37:12.993000,PIA,0 days 00:01:38.622000,18.0,2.0,HARD,5.0,1,False
0 days 01:38:51.567000,PIA,0 days 00:01:38.574000,19.0,2.0,HARD,6.0,1,False
0 days 01:40:30.273000,PIA,0 days 00:01:38.706000,20.0,2.0,HARD,7.0,1,False
0 days 01:42:08.536000,PIA,0 days 00:01:38.263000,21.0,2.0,HARD,8.0,1,True
0 days 01:43:46.801000,PIA,0 days 00:01:38.265000,22.0,2.0,HARD,9.0,1,False
0 days 01:45:25.533000,PIA,0 days 00:01:38.732000,23.0,2.0,HARD,10.0,1,False
0 days 01:47:04.645000,PIA,0 days 00:01:39.112000,24.0,2.0,HARD,11.0,1,False
0 days 01:48:43.186000,PIA,0 days 00:01:38.541000,25.0,2.0,HARD,12.0,1,False
0 days 01:50:22.121000,PIA,0 days 00:01:38.935000,26.0,2.0,HARD,13.0,1,False
0 days 01:52:01.900000,PIA,0 days 00:01:39.779000,27.0,2.0,HARD,14.0,1,False
0 days 01:53:40.597000,PIA,0 days 00:01:38.697000,28.0,2.0,HARD,15.0,1,False
0 days 01:55:19.295000,PIA,0 days 00:01:38.698000,29.0,2.0,HARD,16.0,1,False
0 days 01:56:57.852000,PIA,0 days 00:01:38.557000,30.0,2.0,HARD,17.0,1,False
0 days 01:58:36.473000,PIA,0 days 00:01:38.621000,31.0,2.0,HARD,18.0,1,False
0 days 02:00:14.931000,PIA,0 days 00:01:38.458000,32.0,2.0,HARD,19.0,1,False
0 days 02:01:53.437000,PIA,0 days 00:01:38.506000,33.0,2.0,HARD,20.0,1,False
0 days 02:03:31.554000,PIA,0 days 00:01:38.117000,34.0,2.0,HARD,21.0,1,True
0 days 02:05:12.129000,PIA,0 days 00:01:40.575000,35.0,2.0,HARD,22.0,1,False
0 days 02:07:09.225000,PIA,0 days 00:01:57.096000,36.0,3.0,HARD,1.0,1,False
0 days 02:08:45.857000,PIA,0 days 00:01:36.632000,37.0,3.0,HARD,2.0,1,True
0 days 02:10:22.185000,PIA,0 days 00:01:36.328000,38.0,3.0,HARD,3.0,1,True
0 days 02:11:58.782000,PIA,0 days 00:01:36.597000,39.0,3.0,HARD,4.0,1,False
0 days 02:13:35.523000,PIA,0 days 00:01:36.741000,40.0,3.0,HARD,5.0,1,False
0 days 02:15:13.405000,PIA,0 days 00:01:37.882000,41.0,3.0,HARD,6.0,1,False
0 days 02:16:50.253000,PIA,0 days 00:01:36.848000,42.0,3.0,HARD,7.0,1,False
0 days 02:18:27.504000,PIA,0 days 00:01:37.251000,43.0,3.0,HARD,8.0,1,False
0 days 02:20:05.347000,PIA,0 days 00:01:37.843000,44.0,3.0,HARD,9.0,1,False
0 days 02:21:42.643000,PIA,0 days 00:01:37.296000,45.0,3.0,HARD,10.0,1,False
