Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 00:57:41.653000,VER,,1.0,1.0,MEDIUM,1.0,1,False
0 days 00:59:15.596000,VER,0 days 00:01:33.943000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:00:49.235000,VER,0 days 00:01:33.639000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:02:22.979000,VER,0 days 00:01:33.744000,4.0,1.0,MEDIUM,4.0,1,False
0 days 01:03:56.755000,VER,0 days 00:01:33.776000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:05:30.401000,VER,0 days 00:01:33.646000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:07:03.927000,VER,0 days 00:01:33.526000,7.0,1.0,MEDIUM,7.0,1,True
0 days 01:08:37.463000,VER,0 days 00:01:33.536000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:10:10.992000,VER,0 days 00:01:33.529000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:11:44.547000,VER,0 days 00:01:33.555000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:13:18.045000,VER,0 days 00:01:33.498000,11.0,1.0,MEDIUM,11.0,1,True
0 days 01:14:51.688000,VER,0 days 00:01:33.643000,12.0,1.0,MEDIUM,12.0,1,False
0 days 01:16:25.328000,VER,0 days 00:01:33.640000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:17:58.708000,VER,0 days 00:01:33.380000,14.0,1.0,MEDIUM,14.0,1,True
0 days 01:19:32.076000,VER,0 days 00:01:33.368000,15.0,1.0,MEDIUM,15.0,1,True
0 days 01:21:05.507000,VER,0 days 00:01:33.431000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:22:39.049000,VER,0 days 00:01:33.542000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:24:12.402000,VER,0 days 00:01:33.353000,18.0,1.0,MEDIUM,18.0,1,True
0 days 01:25:45.760000,VER,0 days 00:01:33.358000,19.0,1.0,MEDIUM,19.0,1,False
0 days 01:27:18.824000,VER,0 days 00:01:33.064000,20.0,1.0,MEDIUM,20.0,1,True
0 days 01:28:54.044000,VER,0 days 00:01:35.220000,21.0,1.0,MEDIUM,21.0,1,False
0 days 01:30:48.122000,VER,0 days 00:01:54.078000,22.0,2.0,HARD,1.0,1,False
0 days 01:32:20.804000,VER,0 days 00:01:32.682000,23.0,2.0,HARD,2.0,1,True
0 days 01:33:53.095000,VER,0 days 00:01:32.291000,24.0,2.0,HARD,3.0,1,True
0 days 01:35:25.601000,VER,0 days 00:01:32.506000,25.0,2.0,HARD,4.0,1,False
0 days 01:36:58.049000,VER,0 days 00:01:32.448000,26.0,2.0,HARD,5.0,1,False
0 days 01:38:30.395000,VER,0 days 00:01:32.346000,27.0,2.0,HARD,6.0,1,False
0 days 01:40:02.858000,VER,0 days 00:01:32.463000,28.0,2.0,HARD,7.0,1,False
0 days 01:41:35.006000,VER,0 days 00:01:32.148000,29.0,2.0,HARD,8.0,1,True
