Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
VER,1,MEDIUM,12,10,98.033,101.172,3.138999999999996,0.31389999999999957,0.840527272727269,43.05833333333334,27.21666666666667,5,16
VER,2,MEDIUM,21,19,97.769,100.26400000000001,2.4950000000000045,0.13131578947368444,0.04748947368421031,39.5,27.342857142857138,17,37
VER,3,HARD,16,14,95.914,96.3,0.3859999999999957,0.027571428571428264,0.10749450549450423,37.006249999999994,27.20625,38,53
NOR,1,MEDIUM,12,10,98.394,101.24000000000001,2.8460000000000036,0.28460000000000035,0.18049431818182182,43.08333333333334,27.21666666666667,5,17
NOR,2,HARD,19,17,97.77600000000001,100.106,2.329999999999984,0.13705882352941082,0.05007352941176357,39.37894736842105,27.342105263157894,18,36
NOR,3,HARD,17,15,95.97200000000001,96.755,0.782999999999987,0.052199999999999136,0.105921428571429,36.98823529411764,27.223529411764705,37,53
PIA,1,MEDIUM,9,7,98.787,101.4,2.6129999999999995,0.3732857142857142,0.3464285714285729,43.06666666666667,27.200000000000003,5,13
PIA,2,HARD,21,19,98.669,100.575,1.906000000000006,0.10031578947368452,0.025287719298246802,40.00952380952381,27.32857142857143,15,35
PIA,3,HARD,18,16,96.328,97.017,0.688999999999993,0.04306249999999956,0.029873529411764514,36.98888888888889,27.21666666666667,36,53
LEC,1,MEDIUM,13,11,99.093,101.825,2.7319999999999993,0.24836363636363631,0.5064818181818211,43.07692307692309,27.223076923076924,5,17
LEC,2,MEDIUM,17,15,98.169,101.12899999999999,2.9599999999999937,0.19733333333333292,0.12090357142856827,39.582352941176474,27.347058823529412,18,34
LEC,3,HARD,19,17,96.89099999999999,98.049,1.1580000000000155,0.06811764705882443,0.07446078431372649,37.01052631578946,27.215789473684218,35,53
SAI,1,MEDIUM,14,12,99.189,101.804,2.615000000000009,0.21791666666666742,0.321356643356644,43.04285714285715,27.22142857142857,5,18
SAI,2,MEDIUM,20,18,97.987,101.42,3.433000000000007,0.1907222222222226,0.10715170278637758,39.035000000000004,27.339999999999996,19,38
SAI,3,HARD,15,13,96.364,97.259,0.894999999999996,0.06884615384615354,0.11740109890110215,36.86000000000001,27.19333333333333,39,53
ALO,1,SOFT,7,5,99.138,102.32,3.181999999999988,0.6363999999999976,0.691099999999993,43.01428571428572,27.157142857142855,5,11
ALO,2,HARD,14,12,112.044,103.68,-8.36399999999999,-0.6969999999999992,-0.1609650349650393,41.9,27.314285714285713,12,25
ALO,3,HARD,28,26,97.203,99.65,2.4470000000000027,0.09411538461538473,0.07075555555555436,37.45,27.26071428571429,26,53
RUS,1,MEDIUM,20,18,99.582,101.402,1.8200000000000074,0.10111111111111153,-0.03479669762641844,42.464999999999996,27.26,5,24
RUS,2,HARD,29,27,97.65299999999999,98.88,1.2270000000000039,0.045444444444444586,0.06054578754578842,37.48620689655173,27.262068965517248,25,53
HAM,1,MEDIUM,12,10,99.274,103.793,4.5190000000000055,0.4519000000000005,0.8122484848484846,43.06666666666667,27.21666666666667,5,16
HAM,2,HARD,18,16,97.878,100.85300000000001,2.9750000000000085,0.18593750000000053,0.05755441176470647,39.76111111111111,27.34444444444445,17,34
HAM,3,HARD,19,17,96.182,97.35300000000001,1.1710000000000065,0.06888235294117685,0.08133088235294184,37.02105263157894,27.215789473684218,35,53
LAW,1,SOFT,6,4,99.949,102.431,2.4819999999999993,0.6204999999999998,0.7880000000000006,43.13333333333333,27.13333333333333,5,10
LAW,2,MEDIUM,15,13,108.962,102.85499999999999,-6.1070000000000135,-0.4697692307692318,-0.41124175824175835,41.980000000000004,27.306666666666665,11,25
LAW,3,HARD,27,25,98.832,100.38900000000001,1.5570000000000164,0.062280000000000654,0.0021784615384607686,37.43703703703704,27.27407407407408,26,52
TSU,1,SOFT,5,3,99.941,102.396,2.4549999999999983,0.8183333333333328,1.2275000000000023,43.06,27.119999999999997,5,9
TSU,2,MEDIUM,21,19,99.473,102.697,3.2240000000000038,0.169684210526316,-0.14792631578947504,41.247619047619054,27.323809523809523,10,30
TSU,3,HARD,22,20,98.093,99.1,1.0069999999999908,0.05034999999999954,0.06717067669172651,37.199999999999996,27.24545454545455,31,52
STR,1,SOFT,9,7,100.05199999999999,100.757,0.7050000000000125,0.1007142857142875,0.08242857142857131,43.17777777777778,27.200000000000003,5,13
STR,2,MEDIUM,6,4,100.082,103.295,3.213000000000008,0.803250000000002,1.0077999999999916,42.74999999999999,27.26666666666667,15,20
HUL,1,SOFT,4,2,100.209,102.501,2.2920000000000016,1.1460000000000008,2.2920000000000114,42.95,27.125,5,8
HUL,2,MEDIUM,13,11,99.84899999999999,102.637,2.788000000000011,0.25345454545454643,-0.2413636363636333,42.84615384615385,27.25384615384616,9,21
HUL,3,HARD,15,13,98.587,101.42,2.8329999999999984,0.2179230769230768,0.14824175824175428,38.38666666666666,27.366666666666667,23,37
HUL,4,MEDIUM,15,13,97.656,97.929,0.27299999999999613,0.020999999999999703,0.029027472527474847,36.946666666666665,27.206666666666667,38,52
GAS,1,MEDIUM,14,12,100.154,102.94800000000001,2.794000000000011,0.23283333333333425,0.2959615384615384,43.10714285714287,27.22142857142857,5,18
GAS,2,HARD,16,14,100.098,101.378,1.2800000000000011,0.09142857142857151,0.06712967032966757,39.375,27.35,19,34
GAS,3,HARD,19,17,97.0,104.267,7.266999999999996,0.4274705882352939,0.20573529411764577,36.99473684210527,27.210526315789473,35,53
MAG,1,MEDIUM,7,5,100.571,101.042,0.47100000000000364,0.09420000000000073,0.13639999999999344,43.15714285714286,27.157142857142855,5,11
MAG,2,HARD,18,16,99.064,102.50399999999999,3.4399999999999977,0.21499999999999986,0.1517779411764742,40.56666666666666,27.344444444444445,14,31
MAG,3,HARD,21,19,98.26400000000001,98.628,0.3639999999999901,0.019157894736841586,0.08291578947368249,37.12380952380952,27.238095238095237,32,52
OCO,2,HARD,24,22,100.535,102.90100000000001,2.366000000000014,0.10754545454545518,-0.03604009034443796,41.85833333333333,27.27916666666667,5,28
OCO,3,HARD,25,23,97.97800000000001,98.292,0.31399999999999295,0.013652173913043172,0.04197430830039288,37.28,27.244,29,53
