Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:21:45.331000,PIA,0 days 00:01:39.150000,9.0,1.0,MEDIUM,9.0,1,False,99.15,98.93766666666669,99.15,0.0,0.2740000000000009,27.1,42.9,41.0,1.0
0 days 01:21:46.550000,LEC,0 days 00:01:39.083000,9.0,1.0,MEDIUM,9.0,1,False,99.083,99.08733333333333,99.083,0.0,-0.0030000000000001137,27.1,42.9,41.0,1.0
0 days 01:21:47.598000,SAI,0 days 00:01:39.168000,9.0,1.0,MEDIUM,9.0,1,False,99.168,99.15500000000002,99.168,0.0,0.060000000000002274,27.1,42.9,41.0,1.0
0 days 01:21:49.393000,ALO,0 days 00:01:39.884000,9.0,1.0,SOFT,12.0,1,False,99.884,99.39066666666668,99.884,0.0,0.7339999999999947,27.1,42.9,41.0,1.0
0 days 01:21:50.042000,HAM,0 days 00:01:39.706000,9.0,1.0,MEDIUM,9.0,1,False,99.706,99.35233333333333,99.706,0.0,0.6290000000000049,27.1,42.9,41.0,1.0
0 days 01:21:51.585000,RUS,0 days 00:01:39.767000,9.0,1.0,MEDIUM,9.0,1,False,99.767,99.67366666666665,99.767,0.0,0.09499999999999886,27.1,42.9,41.0,1.0
0 days 01:21:53.478000,LAW,0 days 00:01:40.245000,9.0,1.0,SOFT,9.0,1,False,100.245,100.00166666666667,100.245,0.0,0.4339999999999975,27.1,43.5,40.0,1.5
0 days 01:21:56.061000,STR,0 days 00:01:40.376000,9.0,1.0,SOFT,9.0,1,False,100.376,100.18966666666665,100.376,0.0,0.23500000000001364,27.1,43.5,40.0,1.5
0 days 01:21:57.211000,GAS,0 days 00:01:39.960000,9.0,1.0,MEDIUM,9.0,1,True,99.96000000000001,100.12333333333333,99.96000000000001,0.0,-0.29599999999999227,27.1,43.5,40.0,1.5
0 days 01:21:57.399000,TSU,0 days 00:01:42.396000,9.0,1.0,SOFT,12.0,1,False,102.396,100.81733333333334,102.396,0.0,2.2809999999999917,27.1,43.5,40.0,1.5
0 days 01:21:58.949000,MAG,0 days 00:01:40.318000,9.0,1.0,MEDIUM,9.0,1,True,100.318,100.47433333333333,100.318,0.0,-0.21599999999999397,27.1,43.5,40.0,1.5
0 days 01:21:59.543000,OCO,0 days 00:01:40.497000,9.0,2.0,HARD,8.0,1,False,100.497,100.47766666666666,100.497,0.0,0.09599999999998943,27.1,43.5,40.0,1.5
0 days 01:22:00.027000,PER,0 days 00:01:40.466000,9.0,2.0,HARD,7.0,1,False,100.46600000000001,100.10133333333334,100.46600000000001,0.0,0.7620000000000005,27.1,43.5,40.0,1.5
0 days 01:22:01.941000,ZHO,0 days 00:01:40.915000,9.0,2.0,SOFT,8.0,1,False,100.91499999999999,100.89066666666668,100.91499999999999,0.0,0.18599999999999284,27.1,43.5,40.0,1.5
0 days 01:22:03.931000,ALB,0 days 00:01:40.764000,9.0,2.0,MEDIUM,8.0,1,True,100.76400000000001,100.94533333333334,100.76400000000001,0.0,-0.40399999999999636,27.1,43.5,40.0,1.5
0 days 01:22:17.957000,HUL,0 days 00:01:59.085000,9.0,2.0,MEDIUM,1.0,1,False,119.08500000000001,107.265,108.186,10.899000000000001,,27.1,43.5,40.0,1.5
0 days 01:22:42.874000,SAR,0 days 00:01:40.317000,9.0,3.0,MEDIUM,4.0,1,False,100.31700000000001,99.62866666666666,101.063,-0.7459999999999951,0.5960000000000036,27.1,43.5,40.0,1.5
0 days 01:23:16.982000,VER,0 days 00:01:38.301000,10.0,1.0,MEDIUM,10.0,1,False,98.301,98.23,98.241,0.060000000000002274,0.060000000000002274,27.2,43.5,40.0,1.7
0 days 01:23:20.806000,NOR,0 days 00:01:39.012000,10.0,1.0,MEDIUM,10.0,1,False,99.012,98.69866666666667,98.578,0.4339999999999975,0.4339999999999975,27.2,43.5,40.0,1.7
0 days 01:23:24.562000,PIA,0 days 00:01:39.231000,10.0,1.0,MEDIUM,10.0,1,False,99.231,99.08566666666667,99.15,0.08099999999998886,0.08099999999998886,27.2,43.5,40.0,1.7
0 days 01:23:25.860000,LEC,0 days 00:01:39.310000,10.0,1.0,MEDIUM,10.0,1,False,99.31,99.15966666666667,99.083,0.22700000000000387,0.22700000000000387,27.2,43.5,40.0,1.7
0 days 01:23:27.039000,SAI,0 days 00:01:39.441000,10.0,1.0,MEDIUM,10.0,1,False,99.441,99.23899999999999,99.168,0.27299999999999613,0.27299999999999613,27.2,43.5,40.0,1.7
0 days 01:23:29.090000,ALO,0 days 00:01:39.697000,10.0,1.0,SOFT,13.0,1,False,99.697,99.577,99.884,-0.1869999999999976,-0.1869999999999976,27.2,43.5,40.0,1.7
0 days 01:23:29.994000,HAM,0 days 00:01:39.952000,10.0,1.0,MEDIUM,10.0,1,False,99.952,99.57833333333333,99.706,0.2459999999999951,0.2459999999999951,27.2,43.5,40.0,1.7
0 days 01:23:31.479000,RUS,0 days 00:01:39.894000,10.0,1.0,MEDIUM,10.0,1,False,99.894,99.77766666666666,99.767,0.12700000000000955,0.12700000000000955,27.2,43.5,40.0,1.7
