Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:37:51.980000,VER,0 days 00:01:36.472000,4.0,2.0,MEDIUM,4.0,1,True,96.47200000000001,96.47200000000001,97.32900000000001,-0.8569999999999993,,22.5,39.0,37.0,4.2
0 days 01:37:53.116000,PER,0 days 00:01:36.573000,4.0,2.0,MEDIUM,4.0,1,True,96.57300000000001,96.57300000000001,97.22,-0.6469999999999914,,22.5,39.0,37.0,4.2
0 days 01:37:54.320000,NOR,0 days 00:01:36.853000,4.0,2.0,MEDIUM,4.0,1,True,96.85300000000001,96.85300000000001,97.824,-0.9709999999999894,,22.5,39.0,37.0,4.2
0 days 01:37:55.137000,SAI,0 days 00:01:37.225000,4.0,2.0,MEDIUM,3.0,1,True,97.225,97.225,97.73599999999999,-0.5109999999999957,,22.5,39.0,37.0,4.2
0 days 01:37:55.963000,ALO,0 days 00:01:37.453000,4.0,2.0,SOFT,4.0,1,True,97.453,97.453,98.461,-1.0079999999999956,,22.5,39.0,37.0,4.2
0 days 01:37:57.065000,PIA,0 days 00:01:37.734000,4.0,2.0,MEDIUM,4.0,1,True,97.73400000000001,97.73400000000001,98.22200000000001,-0.48799999999999955,,22.5,39.0,37.0,4.2
0 days 01:37:58.244000,LEC,0 days 00:01:38.268000,4.0,2.0,MEDIUM,3.0,1,True,98.268,98.268,97.92,0.347999999999999,,22.5,39.0,37.0,4.2
0 days 01:37:58.879000,HAM,0 days 00:01:38.303000,4.0,2.0,HARD,3.0,1,True,98.303,98.303,98.096,0.20699999999999363,,22.5,39.0,37.0,4.2
0 days 01:38:00.594000,TSU,0 days 00:01:39.108000,4.0,2.0,SOFT,6.0,1,True,99.108,99.108,99.108,0.0,,22.5,39.0,37.0,4.2
0 days 01:38:00.793000,RUS,0 days 00:01:38.976000,4.0,2.0,HARD,3.0,1,True,98.976,98.976,98.19200000000001,0.7839999999999918,,22.5,39.0,37.0,4.2
