Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 00:58:27.641000,VER,,1.0,1.0,MEDIUM,1.0,12,False
0 days 01:00:22.579000,VER,0 days 00:01:54.938000,2.0,1.0,MEDIUM,2.0,126,True
0 days 01:02:00.630000,VER,0 days 00:01:38.051000,3.0,1.0,MEDIUM,3.0,671,True
0 days 01:03:30.134000,VER,0 days 00:01:29.504000,4.0,1.0,MEDIUM,4.0,1,True
0 days 01:04:59.947000,VER,0 days 00:01:29.813000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:06:29.359000,VER,0 days 00:01:29.412000,6.0,1.0,MEDIUM,6.0,1,True
0 days 01:07:59.244000,VER,0 days 00:01:29.885000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:09:29.068000,VER,0 days 00:01:29.824000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:10:58.513000,VER,0 days 00:01:29.445000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:12:28.962000,VER,0 days 00:01:30.449000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:13:59.357000,VER,0 days 00:01:30.395000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:15:29.521000,VER,0 days 00:01:30.164000,12.0,1.0,MEDIUM,12.0,1,False
0 days 01:16:59.699000,VER,0 days 00:01:30.178000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:18:29.827000,VER,0 days 00:01:30.128000,14.0,1.0,MEDIUM,14.0,1,False
0 days 01:19:59.703000,VER,0 days 00:01:29.876000,15.0,1.0,MEDIUM,15.0,1,False
0 days 01:21:29.750000,VER,0 days 00:01:30.047000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:22:59.659000,VER,0 days 00:01:29.909000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:24:29.485000,VER,0 days 00:01:29.826000,18.0,1.0,MEDIUM,18.0,1,False
0 days 01:25:59.561000,VER,0 days 00:01:30.076000,19.0,1.0,MEDIUM,19.0,1,False
0 days 01:27:29.565000,VER,0 days 00:01:30.004000,20.0,1.0,MEDIUM,20.0,1,False
