Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:03:27.458000,VER,,1.0,1.0,MEDIUM,1.0,12,False
0 days 01:04:46.825000,VER,0 days 00:01:19.367000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:06:05.899000,VER,0 days 00:01:19.074000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:07:24.028000,VER,0 days 00:01:18.129000,4.0,1.0,MEDIUM,4.0,1,True
0 days 01:08:42.047000,VER,0 days 00:01:18.019000,5.0,1.0,MEDIUM,5.0,1,True
0 days 01:09:59.687000,VER,0 days 00:01:17.640000,6.0,1.0,MEDIUM,6.0,1,True
0 days 01:11:17.320000,VER,0 days 00:01:17.633000,7.0,1.0,MEDIUM,7.0,1,True
0 days 01:12:34.717000,VER,0 days 00:01:17.397000,8.0,1.0,MEDIUM,8.0,1,True
0 days 01:13:51.748000,VER,0 days 00:01:17.031000,9.0,1.0,MEDIUM,9.0,1,True
0 days 01:15:08.832000,VER,0 days 00:01:17.084000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:16:25.690000,VER,0 days 00:01:16.858000,11.0,1.0,MEDIUM,11.0,1,True
0 days 01:17:42.683000,VER,0 days 00:01:16.993000,12.0,1.0,MEDIUM,12.0,12,False
0 days 01:19:00.117000,VER,0 days 00:01:17.434000,13.0,1.0,MEDIUM,13.0,21,False
0 days 01:20:17.182000,VER,0 days 00:01:17.065000,14.0,1.0,MEDIUM,14.0,12,False
0 days 01:21:34.261000,VER,0 days 00:01:17.079000,15.0,1.0,MEDIUM,15.0,21,False
0 days 01:22:51.085000,VER,0 days 00:01:16.824000,16.0,1.0,MEDIUM,16.0,1,True
0 days 01:24:07.945000,VER,0 days 00:01:16.860000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:25:24.657000,VER,0 days 00:01:16.712000,18.0,1.0,MEDIUM,18.0,1,True
0 days 01:26:41.480000,VER,0 days 00:01:16.823000,19.0,1.0,MEDIUM,19.0,1,False
0 days 01:27:58.694000,VER,0 days 00:01:17.214000,20.0,1.0,MEDIUM,20.0,1,False
0 days 01:29:15.497000,VER,0 days 00:01:16.803000,21.0,1.0,MEDIUM,21.0,1,False
0 days 01:30:32.156000,VER,0 days 00:01:16.659000,22.0,1.0,MEDIUM,22.0,1,True
0 days 01:31:48.760000,VER,0 days 00:01:16.604000,23.0,1.0,MEDIUM,23.0,1,True
0 days 01:33:05.558000,VER,0 days 00:01:16.798000,24.0,1.0,MEDIUM,24.0,1,False
0 days 01:34:22.741000,VER,0 days 00:01:17.183000,25.0,1.0,MEDIUM,25.0,1,False
0 days 01:35:39.953000,VER,0 days 00:01:17.212000,26.0,1.0,MEDIUM,26.0,1,False
0 days 01:36:57.212000,VER,0 days 00:01:17.259000,27.0,1.0,MEDIUM,27.0,1,False
0 days 01:38:14.982000,VER,0 days 00:01:17.770000,28.0,1.0,MEDIUM,28.0,1,False
0 days 01:39:32.983000,VER,0 days 00:01:18.001000,29.0,1.0,MEDIUM,29.0,1,False
0 days 01:40:51.143000,VER,0 days 00:01:18.160000,30.0,1.0,MEDIUM,30.0,1,False
0 days 01:42:09.884000,VER,0 days 00:01:18.741000,31.0,1.0,MEDIUM,31.0,1,False
0 days 01:43:28.700000,VER,0 days 00:01:18.816000,32.0,1.0,MEDIUM,32.0,1,False
0 days 01:44:47.646000,VER,0 days 00:01:18.946000,33.0,1.0,MEDIUM,33.0,1,False
0 days 01:46:05.690000,VER,0 days 00:01:18.044000,34.0,1.0,MEDIUM,34.0,1,False
0 days 01:47:23.714000,VER,0 days 00:01:18.024000,35.0,1.0,MEDIUM,35.0,1,False
0 days 01:48:41.688000,VER,0 days 00:01:17.974000,36.0,1.0,MEDIUM,36.0,1,False
0 days 01:49:58.961000,VER,0 days 00:01:17.273000,37.0,1.0,MEDIUM,37.0,1,False
0 days 01:51:16.083000,VER,0 days 00:01:17.122000,38.0,1.0,MEDIUM,38.0,1,False
0 days 01:52:33.049000,VER,0 days 00:01:16.966000,39.0,1.0,MEDIUM,39.0,1,False
0 days 01:53:50.210000,VER,0 days 00:01:17.161000,40.0,1.0,MEDIUM,40.0,1,False
0 days 01:55:07.154000,VER,0 days 00:01:16.944000,41.0,1.0,MEDIUM,41.0,1,False
0 days 01:56:23.954000,VER,0 days 00:01:16.800000,42.0,1.0,MEDIUM,42.0,1,False
0 days 01:57:40.917000,VER,0 days 00:01:16.963000,43.0,1.0,MEDIUM,43.0,1,False
0 days 01:58:57.639000,VER,0 days 00:01:16.722000,44.0,1.0,MEDIUM,44.0,1,False
0 days 02:00:14.340000,VER,0 days 00:01:16.701000,45.0,1.0,MEDIUM,45.0,1,False
0 days 02:01:31.415000,VER,0 days 00:01:17.075000,46.0,1.0,MEDIUM,46.0,1,False
0 days 02:02:48.575000,VER,0 days 00:01:17.160000,47.0,1.0,MEDIUM,47.0,1,False
0 days 02:04:05.640000,VER,0 days 00:01:17.065000,48.0,1.0,MEDIUM,48.0,1,False
0 days 02:05:23.068000,VER,0 days 00:01:17.428000,49.0,1.0,MEDIUM,49.0,1,False
0 days 02:06:40.382000,VER,0 days 00:01:17.314000,50.0,1.0,MEDIUM,50.0,1,False
0 days 02:07:57.809000,VER,0 days 00:01:17.427000,51.0,1.0,MEDIUM,51.0,1,False
0 days 02:09:21.855000,VER,0 days 00:01:24.046000,52.0,1.0,MEDIUM,52.0,1,False
0 days 02:10:51.774000,VER,0 days 00:01:29.919000,53.0,1.0,MEDIUM,53.0,1,False
0 days 02:12:30.720000,VER,0 days 00:01:38.946000,54.0,1.0,MEDIUM,54.0,1,False
0 days 02:14:41.287000,VER,0 days 00:02:10.567000,55.0,1.0,MEDIUM,55.0,12,False
0 days 02:16:27.418000,VER,0 days 00:01:46.131000,56.0,2.0,INTERMEDIATE,1.0,21,False
0 days 02:18:10.882000,VER,0 days 00:01:43.464000,57.0,2.0,INTERMEDIATE,2.0,1,False
0 days 02:19:53.690000,VER,0 days 00:01:42.808000,58.0,2.0,INTERMEDIATE,3.0,12,False
0 days 02:21:37.481000,VER,0 days 00:01:43.791000,59.0,2.0,INTERMEDIATE,4.0,12,False
