Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:31:48.760000,VER,0 days 00:01:16.604000,23.0,1.0,MEDIUM,23.0,1,True,76.604,76.68866666666666,77.64,-1.0360000000000014,-0.05499999999999261,25.3,39.1,43.0,1.2
0 days 01:31:51.410000,ALB,0 days 00:01:17.105000,22.0,2.0,HARD,4.0,1,True,77.105,77.56866666666667,77.064,0.04100000000001103,-0.02599999999999625,25.3,39.1,43.0,1.2
0 days 01:32:00.076000,ALO,0 days 00:01:17.272000,23.0,1.0,HARD,24.0,1,False,77.27199999999999,77.62766666666666,77.952,-0.6800000000000068,-0.6750000000000114,25.3,39.1,43.0,1.2
0 days 01:32:04.419000,SAR,0 days 00:01:17.483000,22.0,2.0,HARD,2.0,1,True,77.483,85.44666666666667,81.646,-4.162999999999997,-4.162999999999997,25.3,39.1,43.0,1.2
0 days 01:32:16.995000,OCO,0 days 00:01:17.873000,23.0,1.0,MEDIUM,23.0,1,True,77.873,78.03033333333333,78.731,-0.8579999999999899,-0.1839999999999975,25.4,39.0,42.0,1.1
0 days 01:32:18.155000,SAI,0 days 00:01:18.006000,23.0,1.0,HARD,23.0,1,False,78.006,78.00633333333333,78.764,-0.7579999999999956,-0.0010000000000047748,25.4,39.0,42.0,1.1
0 days 01:32:20.061000,HAM,0 days 00:01:18.053000,23.0,1.0,MEDIUM,23.0,1,False,78.053,77.919,78.958,-0.9050000000000011,0.6599999999999966,25.4,39.0,42.0,1.1
0 days 01:32:21.307000,LEC,0 days 00:01:17.922000,23.0,1.0,HARD,23.0,1,False,77.922,77.97833333333332,78.82900000000001,-0.9070000000000107,0.036000000000001364,25.4,39.0,42.0,1.1
0 days 01:32:23.082000,GAS,0 days 00:01:17.942000,23.0,1.0,HARD,23.0,1,False,77.94200000000001,77.98833333333334,78.842,-0.8999999999999915,-0.2709999999999866,25.4,39.0,42.0,1.1
0 days 01:32:25.248000,RUS,0 days 00:01:18.111000,23.0,1.0,HARD,23.0,1,False,78.111,78.02533333333334,78.945,-0.833999999999989,0.23199999999999932,25.4,39.0,42.0,1.1
