Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 02:28:59.651000,PER,0 days 00:01:31.498000,56.0,2.0,HARD,36.0,1,False
0 days 02:30:30.211000,PER,0 days 00:01:30.560000,57.0,2.0,HARD,37.0,1,True
0 days 01:04:23.834000,ALO,,1.0,1.0,MEDIUM,2.0,1,False
0 days 01:05:58.009000,ALO,0 days 00:01:34.175000,2.0,1.0,MEDIUM,3.0,1,True
0 days 01:07:31.267000,ALO,0 days 00:01:33.258000,3.0,1.0,MEDIUM,4.0,1,True
0 days 01:09:04.739000,ALO,0 days 00:01:33.472000,4.0,1.0,MEDIUM,5.0,1,False
0 days 01:10:38.495000,ALO,0 days 00:01:33.756000,5.0,1.0,MEDIUM,6.0,1,False
0 days 01:12:11.437000,ALO,0 days 00:01:32.942000,6.0,1.0,MEDIUM,7.0,1,True
0 days 01:13:44.504000,ALO,0 days 00:01:33.067000,7.0,1.0,MEDIUM,8.0,1,False
0 days 01:15:17.501000,ALO,0 days 00:01:32.997000,8.0,1.0,MEDIUM,9.0,1,False
0 days 01:16:50.452000,ALO,0 days 00:01:32.951000,9.0,1.0,MEDIUM,10.0,1,False
0 days 01:18:23.517000,ALO,0 days 00:01:33.065000,10.0,1.0,MEDIUM,11.0,1,False
0 days 01:19:56.516000,ALO,0 days 00:01:32.999000,11.0,1.0,MEDIUM,12.0,1,False
0 days 01:21:29.244000,ALO,0 days 00:01:32.728000,12.0,1.0,MEDIUM,13.0,1,True
0 days 01:23:01.643000,ALO,0 days 00:01:32.399000,13.0,1.0,MEDIUM,14.0,1,True
0 days 01:24:34.417000,ALO,0 days 00:01:32.774000,14.0,1.0,MEDIUM,15.0,1,False
0 days 01:26:08.135000,ALO,0 days 00:01:33.718000,15.0,1.0,MEDIUM,16.0,1,False
0 days 01:27:40.974000,ALO,0 days 00:01:32.839000,16.0,1.0,MEDIUM,17.0,1,False
0 days 01:29:13.912000,ALO,0 days 00:01:32.938000,17.0,1.0,MEDIUM,18.0,1,False
0 days 01:30:46.763000,ALO,0 days 00:01:32.851000,18.0,1.0,MEDIUM,19.0,1,False
0 days 01:32:19.711000,ALO,0 days 00:01:32.948000,19.0,1.0,MEDIUM,20.0,1,False
0 days 01:33:52.172000,ALO,0 days 00:01:32.461000,20.0,1.0,MEDIUM,21.0,1,False
0 days 01:35:24.598000,ALO,0 days 00:01:32.426000,21.0,1.0,MEDIUM,22.0,1,False
0 days 01:36:57.112000,ALO,0 days 00:01:32.514000,22.0,1.0,MEDIUM,23.0,1,False
0 days 01:38:29.378000,ALO,0 days 00:01:32.266000,23.0,1.0,MEDIUM,24.0,1,True
0 days 01:40:06.660000,ALO,0 days 00:01:37.282000,24.0,1.0,MEDIUM,25.0,1,False
0 days 01:41:53.711000,ALO,0 days 00:01:47.051000,25.0,2.0,HARD,2.0,1,False
0 days 01:43:25.846000,ALO,0 days 00:01:32.135000,26.0,2.0,HARD,3.0,1,True
0 days 01:44:58.567000,ALO,0 days 00:01:32.721000,27.0,2.0,HARD,4.0,1,False
0 days 01:46:30.795000,ALO,0 days 00:01:32.228000,28.0,2.0,HARD,5.0,1,False
0 days 01:48:03.189000,ALO,0 days 00:01:32.394000,29.0,2.0,HARD,6.0,1,False
0 days 01:49:35.882000,ALO,0 days 00:01:32.693000,30.0,2.0,HARD,7.0,1,False
0 days 01:51:08.473000,ALO,0 days 00:01:32.591000,31.0,2.0,HARD,8.0,1,False
0 days 01:52:40.775000,ALO,0 days 00:01:32.302000,32.0,2.0,HARD,9.0,1,False
