Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:04:51.565000,VER,,1.0,1.0,MEDIUM,1.0,125,False
0 days 01:33:22.689000,VER,,2.0,2.0,MEDIUM,2.0,1,False
0 days 01:36:15.508000,VER,,3.0,2.0,MEDIUM,3.0,1,False
0 days 01:37:51.980000,VER,0 days 00:01:36.472000,4.0,2.0,MEDIUM,4.0,1,True
0 days 01:39:28.417000,VER,0 days 00:01:36.437000,5.0,2.0,MEDIUM,5.0,1,True
0 days 01:41:05.272000,VER,0 days 00:01:36.855000,6.0,2.0,MEDIUM,6.0,1,False
0 days 01:42:42.242000,VER,0 days 00:01:36.970000,7.0,2.0,MEDIUM,7.0,1,False
0 days 01:44:19.571000,VER,0 days 00:01:37.329000,8.0,2.0,MEDIUM,8.0,1,False
0 days 01:45:56.749000,VER,0 days 00:01:37.178000,9.0,2.0,MEDIUM,9.0,1,False
0 days 01:47:34.339000,VER,0 days 00:01:37.590000,10.0,2.0,MEDIUM,10.0,1,False
0 days 01:49:12.113000,VER,0 days 00:01:37.774000,11.0,2.0,MEDIUM,11.0,1,False
0 days 01:50:49.866000,VER,0 days 00:01:37.753000,12.0,2.0,MEDIUM,12.0,1,False
0 days 01:52:27.593000,VER,0 days 00:01:37.727000,13.0,2.0,MEDIUM,13.0,1,False
0 days 01:54:05.503000,VER,0 days 00:01:37.910000,14.0,2.0,MEDIUM,14.0,1,False
0 days 01:55:43.357000,VER,0 days 00:01:37.854000,15.0,2.0,MEDIUM,15.0,1,False
0 days 01:57:23.629000,VER,0 days 00:01:40.272000,16.0,2.0,MEDIUM,16.0,1,False
0 days 01:59:20.107000,VER,0 days 00:01:56.478000,17.0,3.0,MEDIUM,1.0,1,False
0 days 02:00:56.929000,VER,0 days 00:01:36.822000,18.0,3.0,MEDIUM,2.0,1,False
0 days 02:02:33.181000,VER,0 days 00:01:36.252000,19.0,3.0,MEDIUM,3.0,1,True
0 days 02:04:09.583000,VER,0 days 00:01:36.402000,20.0,3.0,MEDIUM,4.0,1,False
0 days 02:05:45.200000,VER,0 days 00:01:35.617000,21.0,3.0,MEDIUM,5.0,1,True
0 days 02:07:21.584000,VER,0 days 00:01:36.384000,22.0,3.0,MEDIUM,6.0,1,False
0 days 02:08:57.789000,VER,0 days 00:01:36.205000,23.0,3.0,MEDIUM,7.0,1,False
0 days 02:10:34.321000,VER,0 days 00:01:36.532000,24.0,3.0,MEDIUM,8.0,1,False
0 days 02:12:10.658000,VER,0 days 00:01:36.337000,25.0,3.0,MEDIUM,9.0,1,False
0 days 02:13:47.095000,VER,0 days 00:01:36.437000,26.0,3.0,MEDIUM,10.0,1,False
0 days 02:15:23.749000,VER,0 days 00:01:36.654000,27.0,3.0,MEDIUM,11.0,1,False
0 days 02:17:00.245000,VER,0 days 00:01:36.496000,28.0,3.0,MEDIUM,12.0,1,False
0 days 02:18:36.900000,VER,0 days 00:01:36.655000,29.0,3.0,MEDIUM,13.0,1,False
0 days 02:20:13.749000,VER,0 days 00:01:36.849000,30.0,3.0,MEDIUM,14.0,1,False
0 days 02:21:50.510000,VER,0 days 00:01:36.761000,31.0,3.0,MEDIUM,15.0,1,False
0 days 02:23:27.430000,VER,0 days 00:01:36.920000,32.0,3.0,MEDIUM,16.0,1,False
0 days 02:25:04.478000,VER,0 days 00:01:37.048000,33.0,3.0,MEDIUM,17.0,1,False
0 days 02:26:43.704000,VER,0 days 00:01:39.226000,34.0,3.0,MEDIUM,18.0,1,False
0 days 02:28:39.207000,VER,0 days 00:01:55.503000,35.0,4.0,HARD,1.0,1,False
0 days 02:30:13.826000,VER,0 days 00:01:34.619000,36.0,4.0,HARD,2.0,1,True
0 days 02:31:48.796000,VER,0 days 00:01:34.970000,37.0,4.0,HARD,3.0,1,False
0 days 02:33:23.782000,VER,0 days 00:01:34.986000,38.0,4.0,HARD,4.0,1,False
0 days 02:34:58.276000,VER,0 days 00:01:34.494000,39.0,4.0,HARD,5.0,1,True
0 days 02:36:32.619000,VER,0 days 00:01:34.343000,40.0,4.0,HARD,6.0,1,True
0 days 02:38:06.892000,VER,0 days 00:01:34.273000,41.0,4.0,HARD,7.0,1,True
0 days 02:39:41.857000,VER,0 days 00:01:34.965000,42.0,4.0,HARD,8.0,12,False
0 days 02:41:16.160000,VER,0 days 00:01:34.303000,43.0,4.0,HARD,9.0,1,False
0 days 02:42:50.615000,VER,0 days 00:01:34.455000,44.0,4.0,HARD,10.0,1,False
0 days 02:44:25.221000,VER,0 days 00:01:34.606000,45.0,4.0,HARD,11.0,1,False
0 days 02:45:59.831000,VER,0 days 00:01:34.610000,46.0,4.0,HARD,12.0,1,False
0 days 02:47:34.944000,VER,0 days 00:01:35.113000,47.0,4.0,HARD,13.0,1,False
