Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:51:09.486000,ALO,0 days 00:01:29.807000,32.0,2.0,HARD,21.0,1,True,89.807,90.11666666666666,90.30799999999999,-0.5009999999999906,-0.32099999999999795,26.6,31.7,51.0,1.7
0 days 01:51:12.159000,HAM,0 days 00:01:29.876000,32.0,2.0,HARD,17.0,1,False,89.876,89.93333333333334,89.657,0.2190000000000083,0.07000000000000739,26.6,31.7,51.0,1.7
0 days 01:51:14.253000,TSU,0 days 00:01:29.968000,32.0,2.0,HARD,10.0,1,False,89.968,89.87466666666667,89.94200000000001,0.02599999999999625,0.30100000000000193,26.6,31.7,51.0,1.7
0 days 01:51:17.269000,STR,0 days 00:01:29.831000,32.0,2.0,HARD,11.0,1,False,89.831,89.75766666666668,90.191,-0.35999999999999943,0.125,26.6,31.7,51.0,1.7
0 days 01:51:21.472000,OCO,0 days 00:01:30.243000,32.0,2.0,HARD,17.0,1,False,90.243,90.35866666666665,90.128,0.11499999999999488,-0.07600000000000762,26.6,31.7,51.0,1.7
0 days 01:51:25.243000,SAI,0 days 00:01:29.897000,32.0,2.0,HARD,9.0,1,False,89.89699999999999,89.78699999999999,89.977,-0.0800000000000125,0.13299999999999557,26.6,31.7,51.0,1.7
0 days 01:51:26.639000,GAS,0 days 00:01:32.563000,32.0,2.0,HARD,15.0,1,False,92.563,91.06466666666667,90.179,2.3840000000000003,2.323999999999998,26.6,31.7,51.0,1.7
0 days 01:51:32.903000,HUL,0 days 00:01:30.845000,32.0,2.0,HARD,19.0,1,False,90.845,90.70166666666667,91.635,-0.7900000000000063,0.25199999999999534,26.6,31.7,51.0,1.7
0 days 01:51:34.711000,ALB,0 days 00:01:30.350000,32.0,2.0,HARD,16.0,1,False,90.35,90.49866666666668,90.53999999999999,-0.18999999999999773,-0.2050000000000125,26.6,31.7,51.0,1.7
0 days 01:51:36.941000,ZHO,0 days 00:01:30.874000,32.0,2.0,HARD,19.0,1,False,90.874,90.95433333333334,90.973,-0.09900000000000375,-0.06100000000000705,26.6,31.7,51.0,1.1
0 days 01:51:38.222000,SAR,0 days 00:01:31.130000,32.0,2.0,HARD,17.0,1,False,91.13,90.80633333333333,90.406,0.7239999999999895,0.4830000000000041,26.6,31.7,51.0,1.1
0 days 01:51:42.256000,RIC,0 days 00:01:50.058000,32.0,3.0,HARD,1.0,1,False,110.05799999999999,97.74,90.531,19.526999999999987,,26.6,31.7,51.0,1.1
0 days 01:51:56.713000,BOT,0 days 00:01:30.245000,32.0,2.0,MEDIUM,3.0,1,True,90.245,98.21300000000001,90.473,-0.22799999999999443,-1.0629999999999882,26.6,31.7,51.0,1.1
0 days 01:51:58.617000,MAG,0 days 00:01:30.684000,32.0,3.0,HARD,10.0,1,False,90.684,90.47699999999999,90.691,-0.007000000000005002,0.05299999999999727,26.6,31.7,51.0,1.1
0 days 01:52:16.979000,VER,0 days 00:01:29.137000,33.0,2.0,HARD,17.0,1,False,89.137,89.12866666666666,89.127,0.010000000000005116,0.03700000000000614,26.6,31.7,51.0,1.1
0 days 01:52:25.255000,LEC,0 days 00:01:29.693000,33.0,2.0,HARD,16.0,1,False,89.693,89.68733333333334,89.70400000000001,-0.01100000000000989,-0.12199999999999989,26.6,31.7,51.0,1.1
0 days 01:52:27.231000,RUS,0 days 00:01:29.593000,33.0,2.0,HARD,19.0,1,False,89.593,89.56233333333334,90.358,-0.7650000000000006,-0.09900000000000375,26.6,31.7,51.0,1.1
0 days 01:52:31.944000,NOR,0 days 00:01:31.445000,33.0,2.0,HARD,19.0,1,False,91.445,90.43233333333335,89.727,1.7179999999999893,1.6029999999999944,26.6,31.7,51.0,1.1
0 days 01:52:32.737000,PER,0 days 00:01:29.261000,33.0,2.0,HARD,16.0,1,False,89.261,89.32933333333331,89.719,-0.4579999999999984,-0.05299999999999727,26.6,31.7,51.0,1.1
0 days 01:52:37.671000,PIA,0 days 00:01:29.777000,33.0,2.0,HARD,20.0,1,False,89.777,89.902,90.438,-0.6610000000000014,-0.07000000000000739,26.5,31.9,51.0,1.3
0 days 01:52:39.912000,ALO,0 days 00:01:30.426000,33.0,2.0,HARD,22.0,1,False,90.426,90.12033333333333,90.30799999999999,0.11800000000000921,0.6189999999999998,26.5,31.9,51.0,1.3
0 days 01:52:41.933000,HAM,0 days 00:01:29.774000,33.0,2.0,HARD,18.0,1,False,89.774,89.81866666666667,89.657,0.11700000000000443,-0.10200000000000387,26.5,31.9,51.0,1.3
0 days 01:52:44.012000,TSU,0 days 00:01:29.759000,33.0,2.0,HARD,11.0,1,False,89.759,89.798,89.94200000000001,-0.18300000000000693,-0.20900000000000318,26.5,31.9,51.0,1.3
0 days 01:52:47.397000,STR,0 days 00:01:30.128000,33.0,2.0,HARD,12.0,1,False,90.128,89.88833333333334,90.191,-0.06300000000000239,0.29699999999999704,26.5,31.9,51.0,1.3
0 days 01:52:51.716000,OCO,0 days 00:01:30.244000,33.0,2.0,HARD,18.0,1,False,90.244,90.26866666666666,90.128,0.11599999999999966,0.0010000000000047748,26.5,31.9,51.0,1.3
0 days 01:52:55.003000,SAI,0 days 00:01:29.760000,33.0,2.0,HARD,10.0,1,False,89.76,89.807,89.977,-0.21699999999999875,-0.13699999999998624,26.5,31.9,51.0,1.3
0 days 01:53:05.158000,ALB,0 days 00:01:30.447000,33.0,2.0,HARD,17.0,1,False,90.447,90.45066666666668,90.53999999999999,-0.09299999999998931,0.09700000000000841,26.5,31.9,51.0,1.3
0 days 01:53:05.358000,HUL,0 days 00:01:32.455000,33.0,2.0,HARD,20.0,1,False,92.455,91.29766666666667,91.635,0.8199999999999932,1.6099999999999994,26.5,31.9,51.0,1.3
0 days 01:53:07.785000,ZHO,0 days 00:01:30.844000,33.0,2.0,HARD,20.0,1,False,90.844,90.88433333333332,90.973,-0.1290000000000049,-0.030000000000001137,26.5,31.9,51.0,1.3
0 days 01:53:09.100000,SAR,0 days 00:01:30.878000,33.0,2.0,HARD,18.0,1,False,90.878,90.88499999999999,90.406,0.4719999999999942,-0.25199999999999534,26.5,31.9,51.0,1.3
0 days 01:53:11.605000,RIC,0 days 00:01:29.349000,33.0,3.0,HARD,2.0,1,True,89.349,97.29699999999998,90.531,-1.1820000000000022,-20.70899999999999,26.5,31.9,51.0,1.3
0 days 01:53:17.940000,GAS,0 days 00:01:51.301000,33.0,3.0,HARD,1.0,1,False,111.301,98.03433333333334,90.01,21.290999999999997,,26.5,31.9,51.0,1.3
0 days 01:53:27.336000,BOT,0 days 00:01:30.623000,33.0,2.0,MEDIUM,4.0,1,False,90.623,90.72533333333332,90.473,0.15000000000000568,0.3780000000000001,26.5,31.9,51.0,1.3
0 days 01:53:29.054000,MAG,0 days 00:01:30.437000,33.0,3.0,HARD,11.0,1,False,90.437,90.584,90.691,-0.2540000000000049,-0.2469999999999999,26.5,31.9,51.0,1.3
0 days 01:53:46.056000,VER,0 days 00:01:29.077000,34.0,2.0,HARD,18.0,1,True,89.077,89.10466666666666,89.127,-0.04999999999999716,-0.060000000000002274,26.6,31.8,51.0,1.2
0 days 01:53:54.702000,LEC,0 days 00:01:29.447000,34.0,2.0,HARD,17.0,1,False,89.447,89.65166666666666,89.70400000000001,-0.257000000000005,-0.2459999999999951,26.6,31.8,51.0,1.2
0 days 01:53:58.193000,RUS,0 days 00:01:30.962000,34.0,2.0,HARD,20.0,1,False,90.962,90.08233333333334,90.358,0.6039999999999992,1.3689999999999998,26.6,31.8,51.0,1.2
0 days 01:54:02.053000,PER,0 days 00:01:29.316000,34.0,2.0,HARD,17.0,1,False,89.316,89.29699999999998,89.719,-0.4029999999999916,0.05500000000000682,26.6,31.8,51.0,1.2
0 days 01:54:07.512000,PIA,0 days 00:01:29.841000,34.0,2.0,HARD,21.0,1,False,89.84100000000001,89.82166666666667,90.438,-0.5969999999999942,0.06400000000000716,26.6,31.8,51.0,1.2
0 days 01:54:09.796000,ALO,0 days 00:01:29.884000,34.0,2.0,HARD,23.0,1,False,89.884,90.039,90.30799999999999,-0.4239999999999924,-0.5420000000000016,26.6,31.8,51.0,1.2
0 days 01:54:11.722000,HAM,0 days 00:01:29.789000,34.0,2.0,HARD,19.0,1,False,89.789,89.813,89.657,0.132000000000005,0.015000000000000568,26.6,31.8,51.0,1.2
0 days 01:54:13.988000,TSU,0 days 00:01:29.976000,34.0,2.0,HARD,12.0,1,False,89.976,89.90100000000001,89.94200000000001,0.033999999999991815,0.21699999999999875,26.6,31.8,51.0,1.2
0 days 01:54:17.318000,STR,0 days 00:01:29.921000,34.0,2.0,HARD,13.0,1,False,89.92099999999999,89.96,90.191,-0.27000000000001023,-0.20700000000000784,26.6,31.8,51.0,1.2
0 days 01:54:19.641000,NOR,0 days 00:01:47.697000,34.0,3.0,HARD,1.0,1,False,107.697,96.32800000000002,89.596,18.101,,26.6,31.8,51.0,1.2
0 days 01:54:21.749000,OCO,0 days 00:01:30.033000,34.0,2.0,HARD,19.0,1,True,90.033,90.17333333333333,90.128,-0.09499999999999886,-0.21099999999999852,26.6,31.8,51.0,1.2
0 days 01:54:24.677000,SAI,0 days 00:01:29.674000,34.0,2.0,HARD,11.0,1,False,89.674,89.777,89.977,-0.30299999999999727,-0.08599999999999852,26.6,31.8,51.0,1.2
0 days 01:54:35.184000,ALB,0 days 00:01:30.026000,34.0,2.0,HARD,18.0,1,True,90.026,90.27433333333333,90.53999999999999,-0.5139999999999958,-0.4210000000000065,26.6,31.8,51.0,1.2
0 days 01:54:38.726000,ZHO,0 days 00:01:30.941000,34.0,2.0,HARD,21.0,1,False,90.941,90.88633333333333,90.973,-0.031999999999996476,0.09700000000000841,26.6,31.7,51.0,1.2
0 days 01:54:39.869000,SAR,0 days 00:01:30.769000,34.0,2.0,HARD,19.0,1,False,90.769,90.92566666666666,90.406,0.36299999999999955,-0.10899999999999466,26.6,31.7,51.0,1.2
0 days 01:54:41.189000,RIC,0 days 00:01:29.584000,34.0,3.0,HARD,3.0,1,False,89.584,96.33033333333333,90.531,-0.9470000000000027,0.23499999999999943,26.6,31.7,51.0,1.2
0 days 01:54:47.091000,GAS,0 days 00:01:29.151000,34.0,3.0,HARD,2.0,1,True,89.151,97.67166666666667,90.01,-0.8590000000000089,-22.150000000000006,26.6,31.7,51.0,1.2
0 days 01:54:55.556000,HUL,0 days 00:01:50.198000,34.0,3.0,HARD,1.0,1,False,110.19800000000001,97.83266666666667,89.462,20.736000000000004,,26.6,31.7,51.0,1.2
0 days 01:54:57.809000,BOT,0 days 00:01:30.473000,34.0,2.0,MEDIUM,5.0,1,False,90.473,90.447,90.473,0.0,-0.15000000000000568,26.6,31.7,51.0,1.2
0 days 01:54:59.506000,MAG,0 days 00:01:30.452000,34.0,3.0,HARD,12.0,1,False,90.452,90.52433333333333,90.691,-0.23900000000000432,0.015000000000000568,26.6,31.7,51.0,1.2
0 days 01:55:15.204000,VER,0 days 00:01:29.148000,35.0,2.0,HARD,19.0,1,False,89.148,89.12066666666668,89.127,0.021000000000000796,0.07099999999999795,26.6,31.7,51.0,1.2
0 days 01:55:26.145000,LEC,0 days 00:01:31.443000,35.0,2.0,HARD,18.0,1,False,91.443,90.19433333333332,89.70400000000001,1.73899999999999,1.9959999999999951,26.6,31.7,51.0,1.2
0 days 01:55:31.296000,PER,0 days 00:01:29.243000,35.0,2.0,HARD,18.0,1,False,89.243,89.27333333333333,89.719,-0.4759999999999991,-0.0730000000000075,26.6,31.7,51.0,1.2
0 days 01:55:37.370000,PIA,0 days 00:01:29.858000,35.0,2.0,HARD,22.0,1,False,89.858,89.82533333333333,90.438,-0.5799999999999983,0.016999999999995907,26.6,31.7,51.0,1.5
