Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:46:44.629000,TSU,0 days 00:01:29.688000,29.0,2.0,HARD,7.0,1,True
0 days 01:48:14.618000,TSU,0 days 00:01:29.989000,30.0,2.0,HARD,8.0,1,False
0 days 01:49:44.285000,TSU,0 days 00:01:29.667000,31.0,2.0,HARD,9.0,1,True
0 days 01:51:14.253000,TSU,0 days 00:01:29.968000,32.0,2.0,HARD,10.0,1,False
0 days 01:52:44.012000,TSU,0 days 00:01:29.759000,33.0,2.0,HARD,11.0,1,False
0 days 01:54:13.988000,TSU,0 days 00:01:29.976000,34.0,2.0,HARD,12.0,1,False
0 days 01:55:43.761000,TSU,0 days 00:01:29.773000,35.0,2.0,HARD,13.0,1,False
0 days 01:57:13.401000,TSU,0 days 00:01:29.640000,36.0,2.0,HARD,14.0,1,True
0 days 01:58:43.235000,TSU,0 days 00:01:29.834000,37.0,2.0,HARD,15.0,1,False
0 days 02:00:13.814000,TSU,0 days 00:01:30.579000,38.0,2.0,HARD,16.0,1,False
0 days 02:01:44.827000,TSU,0 days 00:01:31.013000,39.0,2.0,HARD,17.0,1,False
0 days 02:03:14.460000,TSU,0 days 00:01:29.633000,40.0,2.0,HARD,18.0,1,True
0 days 02:04:43.971000,TSU,0 days 00:01:29.511000,41.0,2.0,HARD,19.0,1,True
0 days 02:06:14.320000,TSU,0 days 00:01:30.349000,42.0,2.0,HARD,20.0,1,False
0 days 02:07:43.979000,TSU,0 days 00:01:29.659000,43.0,2.0,HARD,21.0,1,False
0 days 02:09:13.711000,TSU,0 days 00:01:29.732000,44.0,2.0,HARD,22.0,1,False
0 days 02:10:43.026000,TSU,0 days 00:01:29.315000,45.0,2.0,HARD,23.0,1,True
0 days 02:12:12.436000,TSU,0 days 00:01:29.410000,46.0,2.0,HARD,24.0,1,False
0 days 02:13:41.771000,TSU,0 days 00:01:29.335000,47.0,2.0,HARD,25.0,1,False
0 days 02:15:12.703000,TSU,0 days 00:01:30.932000,48.0,2.0,HARD,26.0,1,False
0 days 02:16:42.654000,TSU,0 days 00:01:29.951000,49.0,2.0,HARD,27.0,1,False
0 days 02:18:12.297000,TSU,0 days 00:01:29.643000,50.0,2.0,HARD,28.0,1,False
0 days 02:19:41.826000,TSU,0 days 00:01:29.529000,51.0,2.0,HARD,29.0,1,False
0 days 02:21:11.280000,TSU,0 days 00:01:29.454000,52.0,2.0,HARD,30.0,1,False
0 days 02:22:40.693000,TSU,0 days 00:01:29.413000,53.0,2.0,HARD,31.0,1,False
0 days 02:24:10.078000,TSU,0 days 00:01:29.385000,54.0,2.0,HARD,32.0,1,False
0 days 02:25:39.334000,TSU,0 days 00:01:29.256000,55.0,2.0,HARD,33.0,1,True
0 days 02:27:10.361000,TSU,0 days 00:01:31.027000,56.0,2.0,HARD,34.0,1,False
0 days 02:28:40.189000,TSU,0 days 00:01:29.828000,57.0,2.0,HARD,35.0,1,False
0 days 02:30:10.569000,TSU,0 days 00:01:30.380000,58.0,2.0,HARD,36.0,1,False
0 days 01:04:00.901000,ALO,,1.0,1.0,MEDIUM,1.0,1,False
0 days 01:05:32.656000,ALO,0 days 00:01:31.755000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:07:03.479000,ALO,0 days 00:01:30.823000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:08:34.139000,ALO,0 days 00:01:30.660000,4.0,1.0,MEDIUM,4.0,1,True
0 days 01:10:04.912000,ALO,0 days 00:01:30.773000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:11:35.715000,ALO,0 days 00:01:30.803000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:13:06.497000,ALO,0 days 00:01:30.782000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:14:37.606000,ALO,0 days 00:01:31.109000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:16:08.521000,ALO,0 days 00:01:30.915000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:17:39.701000,ALO,0 days 00:01:31.180000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:19:11.082000,ALO,0 days 00:01:31.381000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:20:44.460000,ALO,0 days 00:01:33.378000,12.0,1.0,MEDIUM,12.0,1,False
