Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
MAG,67.0,71.413,HARD,34.0,4.0,32.0,22.5,2023_Austria
GAS,41.0,91.827,SOFT,13.0,2.0,29.8,21.5,2023_Britain
TSU,8.0,113.81,MEDIUM,8.0,1.0,28.2,17.9,2023_Belgium
PIA,37.0,95.4,HARD,5.0,4.0,39.0,22.1,2024_Japan
ALO,12.0,92.427,MEDIUM,12.0,1.0,25.4,15.9,2024_Britain
VER,15.0,89.876,MEDIUM,15.0,1.0,31.3,26.8,2024_Abu_Dhabi
VER,5.0,91.778,MEDIUM,5.0,1.0,25.4,15.9,2024_Britain
BOT,49.0,92.706,SOFT,14.0,3.0,31.5,25.5,2024_Saudi_Arabia
PIA,39.0,84.112,HARD,22.0,2.0,31.75,22.2,2023_Spain
BOT,9.0,141.83,HARD,2.0,2.0,31.5,25.5,2024_Saudi_Arabia
