Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
OCO,39.0,101.313,HARD,16.0,3.0,29.9,18.7,2024_China
NOR,22.0,98.908,SOFT,8.0,3.0,30.6,27.1,2023_Bahrain
SAR,55.0,89.025,HARD,14.0,3.0,32.8,26.9,2023_Abu_Dhabi
RIC,49.0,81.912,HARD,7.0,3.0,41.150000000000006,24.1,2024_Spain
GAS,16.0,89.927,HARD,2.0,2.0,31.3,26.8,2024_Abu_Dhabi
VER,30.0,119.495,HARD,1.0,2.0,31.3,26.8,2024_Abu_Dhabi
RUS,29.0,113.262,MEDIUM,1.0,2.0,29.8,21.5,2023_Britain
PER,32.0,89.314,HARD,15.0,2.0,32.8,26.9,2023_Abu_Dhabi
HAM,25.0,95.432,HARD,2.0,3.0,39.0,22.1,2024_Japan
ALO,44.0,83.902,SOFT,28.0,2.0,31.75,22.2,2023_Spain
VER,26.0,95.223,HARD,9.0,2.0,23.5,18.2,2024_Bahrain
HUL,29.0,97.398,HARD,3.0,3.0,30.6,27.1,2023_Bahrain
LEC,39.0,70.724,MEDIUM,24.0,3.0,32.0,22.5,2023_Austria
SAR,55.0,81.834,HARD,19.0,3.0,31.75,22.2,2023_Spain
PIA,62.0,78.186,SOFT,19.0,3.0,41.150000000000006,24.1,2024_Spain
BOT,11.0,89.893,HARD,5.0,2.0,31.3,26.8,2024_Abu_Dhabi
SAR,18.0,91.295,HARD,3.0,2.0,32.8,26.9,2023_Abu_Dhabi
ALB,18.0,89.854,HARD,6.0,2.0,31.3,26.8,2024_Abu_Dhabi
PIA,22.0,78.585,HARD,22.0,2.0,47.25,21.6,2024_Monaco
GAS,67.0,69.965,MEDIUM,23.0,4.0,32.0,22.5,2023_Austria
RUS,4.0,80.03,HARD,4.0,1.0,39.5,25.3,2023_Monaco
NOR,54.0,77.838,HARD,54.0,2.0,47.25,21.6,2024_Monaco
ZHO,32.0,115.002,HARD,8.0,2.0,29.8,21.5,2023_Britain
BOT,4.0,94.322,MEDIUM,4.0,1.0,25.4,15.9,2024_Britain
GAS,12.0,92.492,MEDIUM,12.0,1.0,32.8,26.9,2023_Abu_Dhabi
