Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
BOT,2,MEDIUM,14,12,83.386,97.899,14.513000000000005,1.209416666666667,0.4168461538461541,47.814285714285724,21.914285714285715,2,15
BOT,3,HARD,61,59,76.56700000000001,78.774,2.2069999999999936,0.03740677966101684,-0.04084663939216917,43.67213114754098,21.832786885245905,16,76
ZHO,2,HARD,69,67,83.69800000000001,100.898,17.19999999999999,0.2567164179104476,-0.0021604278074854417,44.7768115942029,21.85942028985507,2,70
ZHO,3,SOFT,6,4,75.233,77.173,1.9399999999999977,0.48499999999999943,0.006499999999984465,40.699999999999996,21.75,71,76
LEC,2,HARD,76,74,81.795,78.636,-3.159000000000006,-0.04268918918918927,-0.061509633469085584,44.38157894736842,21.84605263157895,3,78
PIA,2,HARD,76,74,82.019,77.126,-4.893000000000001,-0.06612162162162163,-0.05770567937800873,44.36973684210526,21.847368421052632,3,78
SAI,2,HARD,76,74,81.97800000000001,77.072,-4.906000000000006,-0.06629729729729737,-0.06058935209181793,44.36052631578947,21.844736842105263,3,78
NOR,2,HARD,76,74,82.14699999999999,77.29599999999999,-4.850999999999999,-0.06555405405405404,-0.060698037763791776,44.36052631578947,21.844736842105263,3,78
RUS,2,MEDIUM,76,74,83.045,76.303,-6.742000000000004,-0.09110810810810817,-0.08278039244724156,44.335526315789465,21.84473684210526,3,78
VER,2,MEDIUM,50,48,83.4,93.905,10.504999999999995,0.21885416666666657,-0.03915441815023826,45.784,21.902,3,52
VER,3,HARD,26,24,75.398,76.248,0.8500000000000085,0.03541666666666702,0.010339565217391149,41.534615384615385,21.74230769230769,53,78
HAM,2,MEDIUM,49,47,83.64,95.209,11.569000000000003,0.24614893617021283,-0.04268536077705732,45.84081632653061,21.90408163265306,3,51
HAM,3,HARD,27,25,76.388,76.355,-0.03300000000000125,-0.00132000000000005,-0.018673076923076994,41.58518518518518,21.748148148148147,52,78
TSU,2,HARD,75,73,83.493,74.72,-8.772999999999996,-0.12017808219178076,-0.05969181167468815,44.358666666666664,21.848,3,77
ALB,2,HARD,75,73,83.369,77.06,-6.3089999999999975,-0.08642465753424654,-0.046719517462667316,44.356,21.846666666666664,3,77
GAS,2,MEDIUM,75,73,83.428,75.625,-7.802999999999997,-0.10689041095890407,-0.05199253362951936,44.34266666666667,21.84933333333333,3,77
STR,2,MEDIUM,40,38,83.731,97.062,13.331000000000003,0.3508157894736843,0.0032861363387691293,46.267500000000005,21.8875,3,42
STR,3,HARD,6,4,78.806,109.132,30.326000000000008,7.581500000000002,9.074400000000002,44.083333333333336,21.96666666666667,43,48
STR,4,SOFT,28,26,76.982,78.623,1.6410000000000053,0.06311538461538482,0.01581641025641,41.74642857142857,21.775,49,76
ALO,2,MEDIUM,74,72,83.575,79.053,-4.522000000000006,-0.06280555555555563,-0.05125543443308202,44.391891891891895,21.8527027027027,3,76
RIC,2,HARD,74,72,83.744,78.93,-4.813999999999993,-0.06686111111111101,-0.052093173194417114,44.391891891891895,21.8527027027027,3,76
SAR,2,HARD,55,53,83.674,97.74600000000001,14.072000000000003,0.26550943396226423,0.021514110627318308,45.46545454545454,21.880000000000003,3,57
SAR,3,MEDIUM,19,17,75.58,77.197,1.6170000000000044,0.09511764705882379,0.01225245098039342,41.25789473684211,21.763157894736846,58,76
