Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:39:04.119000,BOT,0 days 00:01:56.358000,2.0,2.0,MEDIUM,1.0,41,False,116.358,116.358,82.868,33.49000000000001,,21.6,48.6,66.0,1.4
0 days 01:39:04.397000,ZHO,0 days 00:01:52.131000,2.0,2.0,HARD,1.0,41,False,112.131,112.131,82.649,29.482,,21.6,48.6,66.0,1.4
0 days 01:40:24.824000,LEC,0 days 00:01:24.624000,3.0,2.0,HARD,2.0,1,True,84.624,84.624,80.98,3.6439999999999912,,21.7,49.2,63.0,0.6
0 days 01:40:25.837000,PIA,0 days 00:01:24.953000,3.0,2.0,HARD,3.0,1,True,84.953,84.953,80.80799999999999,4.14500000000001,,21.7,49.2,63.0,0.6
0 days 01:40:26.410000,SAI,0 days 00:01:25.012000,3.0,2.0,HARD,2.0,1,True,85.012,85.012,81.46600000000001,3.5459999999999923,,21.7,49.2,63.0,0.6
0 days 01:40:27.004000,NOR,0 days 00:01:25.283000,3.0,2.0,HARD,3.0,1,True,85.283,85.283,80.828,4.454999999999998,,21.7,49.2,63.0,0.6
0 days 01:40:27.382000,RUS,0 days 00:01:25.319000,3.0,2.0,MEDIUM,2.0,1,True,85.319,85.319,81.41499999999999,3.9040000000000106,,21.7,49.2,63.0,0.6
0 days 01:40:28.144000,VER,0 days 00:01:25.744000,3.0,2.0,MEDIUM,2.0,1,True,85.744,85.744,81.283,4.4609999999999985,,21.7,49.2,63.0,0.6
0 days 01:40:29.687000,HAM,0 days 00:01:27.058000,3.0,2.0,MEDIUM,2.0,1,True,87.05799999999999,87.05799999999999,81.463,5.594999999999999,,21.7,49.2,63.0,0.6
0 days 01:40:30.462000,TSU,0 days 00:01:27.563000,3.0,2.0,HARD,3.0,1,True,87.563,87.563,81.826,5.737000000000009,,21.7,49.2,63.0,0.6
0 days 01:40:30.919000,ALB,0 days 00:01:27.834000,3.0,2.0,HARD,2.0,1,True,87.834,87.834,81.913,5.9210000000000065,,21.7,49.2,63.0,0.6
0 days 01:40:31.595000,GAS,0 days 00:01:28.269000,3.0,2.0,MEDIUM,2.0,1,True,88.269,88.269,82.233,6.036000000000001,,21.7,49.2,63.0,0.6
0 days 01:40:31.808000,STR,0 days 00:01:28.303000,3.0,2.0,MEDIUM,3.0,1,True,88.303,88.303,82.634,5.668999999999997,,21.7,49.2,63.0,0.6
0 days 01:40:32.956000,ALO,0 days 00:01:29.188000,3.0,2.0,MEDIUM,3.0,1,True,89.188,89.188,82.866,6.322000000000003,,21.7,49.2,63.0,0.6
0 days 01:40:33.384000,RIC,0 days 00:01:29.656000,3.0,2.0,HARD,3.0,1,True,89.656,89.656,82.747,6.909000000000006,,21.7,49.2,63.0,0.6
0 days 01:40:33.862000,BOT,0 days 00:01:29.743000,3.0,2.0,MEDIUM,2.0,1,True,89.743,103.0505,82.868,6.875,-26.61500000000001,21.7,49.2,63.0,0.6
0 days 01:40:34.183000,SAR,0 days 00:01:30.077000,3.0,2.0,HARD,3.0,1,True,90.077,90.077,82.899,7.177999999999997,,21.7,49.2,63.0,0.6
0 days 01:40:34.793000,ZHO,0 days 00:01:30.396000,3.0,2.0,HARD,2.0,1,True,90.396,101.2635,82.649,7.747,-21.735,21.7,49.2,63.0,0.6
0 days 01:41:47.449000,LEC,0 days 00:01:22.625000,4.0,2.0,HARD,3.0,1,True,82.625,83.6245,80.98,1.644999999999996,-1.9989999999999952,21.7,48.8,63.0,0.6
0 days 01:41:48.151000,PIA,0 days 00:01:22.314000,4.0,2.0,HARD,4.0,1,True,82.314,83.6335,80.80799999999999,1.5060000000000002,-2.63900000000001,21.7,48.8,63.0,0.6
0 days 01:41:48.768000,SAI,0 days 00:01:22.358000,4.0,2.0,HARD,3.0,1,True,82.358,83.685,81.46600000000001,0.8919999999999959,-2.6539999999999964,21.7,48.8,63.0,0.6
0 days 01:41:49.786000,NOR,0 days 00:01:22.782000,4.0,2.0,HARD,4.0,1,True,82.782,84.0325,80.828,1.9539999999999935,-2.5010000000000048,21.7,48.8,63.0,0.6
0 days 01:41:50.250000,RUS,0 days 00:01:22.868000,4.0,2.0,MEDIUM,3.0,1,True,82.868,84.0935,81.41499999999999,1.453000000000003,-2.4510000000000076,21.7,48.8,63.0,0.6
0 days 01:41:51.419000,VER,0 days 00:01:23.275000,4.0,2.0,MEDIUM,3.0,1,True,83.275,84.5095,81.283,1.9920000000000044,-2.468999999999994,21.7,48.8,63.0,0.6
0 days 01:41:53.063000,HAM,0 days 00:01:23.376000,4.0,2.0,MEDIUM,3.0,1,True,83.376,85.217,81.463,1.913000000000011,-3.681999999999988,21.7,48.8,63.0,0.6
0 days 01:41:53.789000,TSU,0 days 00:01:23.327000,4.0,2.0,HARD,4.0,1,True,83.327,85.445,81.826,1.5010000000000048,-4.236000000000004,21.7,48.8,63.0,0.6
0 days 01:41:54.205000,ALB,0 days 00:01:23.286000,4.0,2.0,HARD,3.0,1,True,83.286,85.56,81.913,1.3730000000000047,-4.548000000000002,21.7,48.8,63.0,0.6
0 days 01:41:54.864000,GAS,0 days 00:01:23.269000,4.0,2.0,MEDIUM,3.0,1,True,83.269,85.769,82.233,1.0360000000000014,-5.0,21.7,48.8,63.0,0.6
0 days 01:41:55.162000,STR,0 days 00:01:23.354000,4.0,2.0,MEDIUM,4.0,1,True,83.354,85.82849999999999,82.634,0.7199999999999989,-4.948999999999998,21.7,48.8,63.0,0.6
0 days 01:41:56.692000,ALO,0 days 00:01:23.736000,4.0,2.0,MEDIUM,4.0,1,True,83.736,86.462,82.866,0.8700000000000045,-5.451999999999998,21.7,48.8,63.0,0.6
0 days 01:41:56.908000,RIC,0 days 00:01:23.524000,4.0,2.0,HARD,4.0,1,True,83.524,86.59,82.747,0.777000000000001,-6.132000000000005,21.7,48.8,63.0,0.6
0 days 01:41:57.248000,BOT,0 days 00:01:23.386000,4.0,2.0,MEDIUM,3.0,1,True,83.386,96.49566666666665,82.868,0.5180000000000007,-6.356999999999999,21.7,48.8,63.0,0.6
0 days 01:41:57.865000,SAR,0 days 00:01:23.682000,4.0,2.0,HARD,4.0,1,True,83.682,86.87950000000001,82.899,0.7830000000000013,-6.394999999999996,21.7,48.8,63.0,0.6
0 days 01:41:58.491000,ZHO,0 days 00:01:23.698000,4.0,2.0,HARD,3.0,1,True,83.69800000000001,95.40833333333335,82.649,1.0490000000000066,-6.697999999999993,21.7,48.8,63.0,0.6
0 days 01:43:09.244000,LEC,0 days 00:01:21.795000,5.0,2.0,HARD,4.0,1,True,81.795,83.01466666666666,80.98,0.8149999999999977,-0.8299999999999983,21.6,48.2,64.0,2.0
0 days 01:43:10.170000,PIA,0 days 00:01:22.019000,5.0,2.0,HARD,5.0,1,True,82.019,83.09533333333333,80.80799999999999,1.2110000000000127,-0.2949999999999875,21.6,48.2,64.0,2.0
0 days 01:43:10.746000,SAI,0 days 00:01:21.978000,5.0,2.0,HARD,4.0,1,True,81.97800000000001,83.116,81.46600000000001,0.5120000000000005,-0.37999999999999545,21.6,48.2,64.0,2.0
0 days 01:43:11.933000,NOR,0 days 00:01:22.147000,5.0,2.0,HARD,5.0,1,True,82.14699999999999,83.404,80.828,1.3189999999999884,-0.6350000000000051,21.6,48.2,64.0,2.0
0 days 01:43:13.295000,RUS,0 days 00:01:23.045000,5.0,2.0,MEDIUM,4.0,1,False,83.045,83.744,81.41499999999999,1.6300000000000097,0.1770000000000067,21.6,48.2,64.0,2.0
0 days 01:43:14.819000,VER,0 days 00:01:23.400000,5.0,2.0,MEDIUM,4.0,1,False,83.4,84.13966666666667,81.283,2.1170000000000044,0.125,21.6,48.2,64.0,2.0
0 days 01:43:16.703000,HAM,0 days 00:01:23.640000,5.0,2.0,MEDIUM,4.0,1,False,83.64,84.69133333333333,81.463,2.1770000000000067,0.2639999999999958,21.6,48.2,64.0,2.0
0 days 01:43:17.282000,TSU,0 days 00:01:23.493000,5.0,2.0,HARD,5.0,1,False,83.493,84.79433333333333,81.826,1.6670000000000016,0.16599999999999682,21.6,48.2,64.0,2.0
0 days 01:43:17.574000,ALB,0 days 00:01:23.369000,5.0,2.0,HARD,4.0,1,False,83.369,84.82966666666667,81.913,1.456000000000003,0.08299999999999841,21.6,48.2,64.0,2.0
0 days 01:43:18.292000,GAS,0 days 00:01:23.428000,5.0,2.0,MEDIUM,4.0,1,False,83.428,84.98866666666667,82.233,1.1949999999999932,0.15899999999999181,21.6,48.2,64.0,2.0
0 days 01:43:18.893000,STR,0 days 00:01:23.731000,5.0,2.0,MEDIUM,5.0,1,False,83.731,85.12933333333332,82.634,1.0969999999999942,0.37699999999999534,21.6,48.2,64.0,2.0
0 days 01:43:20.267000,ALO,0 days 00:01:23.575000,5.0,2.0,MEDIUM,5.0,1,True,83.575,85.49966666666667,82.866,0.7090000000000032,-0.16100000000000136,21.6,48.2,64.0,2.0
0 days 01:43:20.652000,RIC,0 days 00:01:23.744000,5.0,2.0,HARD,5.0,1,False,83.744,85.64133333333332,82.747,0.9969999999999999,0.21999999999999886,21.6,48.2,64.0,2.0
0 days 01:43:20.884000,BOT,0 days 00:01:23.636000,5.0,2.0,MEDIUM,4.0,1,False,83.636,85.58833333333332,82.868,0.7680000000000007,0.25,21.6,48.2,64.0,2.0
0 days 01:43:21.539000,SAR,0 days 00:01:23.674000,5.0,2.0,HARD,5.0,1,True,83.674,85.81099999999999,82.899,0.7750000000000057,-0.007999999999995566,21.6,48.2,64.0,2.0
0 days 01:43:21.985000,ZHO,0 days 00:01:23.494000,5.0,2.0,HARD,4.0,1,True,83.494,85.86266666666667,82.649,0.8449999999999989,-0.20400000000000773,21.6,48.2,64.0,2.0
0 days 01:44:30.389000,LEC,0 days 00:01:21.145000,6.0,2.0,HARD,5.0,1,True,81.145,81.855,80.98,0.16499999999999204,-0.6500000000000057,21.8,48.7,64.0,0.4
0 days 01:44:31.524000,PIA,0 days 00:01:21.354000,6.0,2.0,HARD,6.0,1,True,81.354,81.89566666666667,80.80799999999999,0.5460000000000065,-0.6650000000000063,21.8,48.7,64.0,0.4
0 days 01:44:31.909000,SAI,0 days 00:01:21.163000,6.0,2.0,HARD,5.0,1,True,81.163,81.83300000000001,81.46600000000001,-0.3030000000000115,-0.8150000000000119,21.8,48.7,64.0,0.4
0 days 01:44:33.737000,NOR,0 days 00:01:21.804000,6.0,2.0,HARD,6.0,1,True,81.804,82.24433333333333,80.828,0.9759999999999991,-0.3429999999999893,21.8,48.7,64.0,0.4
0 days 01:44:36.307000,RUS,0 days 00:01:23.012000,6.0,2.0,MEDIUM,5.0,1,False,83.012,82.97500000000001,81.41499999999999,1.5970000000000084,-0.03300000000000125,21.8,48.7,64.0,0.4
0 days 01:44:38.606000,VER,0 days 00:01:23.787000,6.0,2.0,MEDIUM,5.0,1,False,83.787,83.48733333333334,81.283,2.504000000000005,0.38700000000000045,21.8,48.7,64.0,0.4
0 days 01:44:40.072000,HAM,0 days 00:01:23.369000,6.0,2.0,MEDIUM,5.0,1,True,83.369,83.46166666666666,81.463,1.906000000000006,-0.2710000000000008,21.8,48.7,64.0,0.4
0 days 01:44:40.506000,TSU,0 days 00:01:23.224000,6.0,2.0,HARD,6.0,1,True,83.224,83.348,81.826,1.3980000000000103,-0.26899999999999125,21.8,48.7,64.0,0.4
0 days 01:44:40.990000,ALB,0 days 00:01:23.416000,6.0,2.0,HARD,5.0,1,False,83.416,83.357,81.913,1.5030000000000001,0.046999999999997044,21.8,48.7,64.0,0.4
0 days 01:44:41.398000,GAS,0 days 00:01:23.106000,6.0,2.0,MEDIUM,5.0,1,True,83.106,83.26766666666667,82.233,0.8729999999999905,-0.32200000000000273,21.8,48.7,64.0,0.4
0 days 01:44:41.870000,STR,0 days 00:01:22.977000,6.0,2.0,MEDIUM,6.0,1,True,82.977,83.354,82.634,0.3430000000000035,-0.7539999999999907,21.8,48.7,64.0,0.4
0 days 01:44:42.978000,ALO,0 days 00:01:22.711000,6.0,2.0,MEDIUM,6.0,1,True,82.711,83.34066666666668,82.866,-0.15500000000000114,-0.8640000000000043,21.8,48.7,64.0,0.4
0 days 01:44:43.400000,RIC,0 days 00:01:22.748000,6.0,2.0,HARD,6.0,1,True,82.748,83.33866666666667,82.747,0.0010000000000047748,-0.9959999999999951,21.8,48.7,64.0,0.4
0 days 01:44:43.752000,BOT,0 days 00:01:22.868000,6.0,2.0,MEDIUM,5.0,1,True,82.868,83.29666666666667,82.868,0.0,-0.7680000000000007,21.8,48.7,64.0,0.4
0 days 01:44:44.278000,SAR,0 days 00:01:22.739000,6.0,2.0,HARD,6.0,1,True,82.739,83.36500000000001,82.899,-0.1599999999999966,-0.9350000000000023,21.8,48.7,64.0,0.4
0 days 01:44:44.634000,ZHO,0 days 00:01:22.649000,6.0,2.0,HARD,5.0,1,True,82.649,83.28033333333333,82.649,0.0,-0.8449999999999989,21.8,48.7,64.0,0.4
0 days 01:45:51.369000,LEC,0 days 00:01:20.980000,7.0,2.0,HARD,6.0,1,True,80.98,81.30666666666667,80.98,0.0,-0.16499999999999204,21.8,48.0,64.0,1.4
0 days 01:45:52.332000,PIA,0 days 00:01:20.808000,7.0,2.0,HARD,7.0,1,True,80.80799999999999,81.39366666666666,80.80799999999999,0.0,-0.5460000000000065,21.8,48.0,64.0,1.4
0 days 01:45:53.375000,SAI,0 days 00:01:21.466000,7.0,2.0,HARD,6.0,1,False,81.46600000000001,81.53566666666667,81.46600000000001,0.0,0.3030000000000115,21.8,48.0,64.0,1.4
0 days 01:45:54.565000,NOR,0 days 00:01:20.828000,7.0,2.0,HARD,7.0,1,True,80.828,81.593,80.828,0.0,-0.9759999999999991,21.8,48.0,64.0,1.4
0 days 01:45:57.722000,RUS,0 days 00:01:21.415000,7.0,2.0,MEDIUM,6.0,1,True,81.41499999999999,82.49066666666667,81.41499999999999,0.0,-1.5970000000000084,21.8,48.0,64.0,1.4
0 days 01:45:59.889000,VER,0 days 00:01:21.283000,7.0,2.0,MEDIUM,6.0,1,True,81.283,82.82333333333334,81.283,0.0,-2.504000000000005,21.8,48.0,64.0,1.4
0 days 01:46:01.535000,HAM,0 days 00:01:21.463000,7.0,2.0,MEDIUM,6.0,1,True,81.463,82.824,81.463,0.0,-1.906000000000006,21.8,48.0,64.0,1.4
0 days 01:46:02.332000,TSU,0 days 00:01:21.826000,7.0,2.0,HARD,7.0,1,True,81.826,82.84766666666665,81.826,0.0,-1.3980000000000103,21.8,48.0,64.0,1.4
0 days 01:46:02.903000,ALB,0 days 00:01:21.913000,7.0,2.0,HARD,6.0,1,True,81.913,82.89933333333333,81.913,0.0,-1.5030000000000001,21.8,48.0,64.0,1.4
0 days 01:46:03.631000,GAS,0 days 00:01:22.233000,7.0,2.0,MEDIUM,6.0,1,True,82.233,82.92233333333333,82.233,0.0,-0.8729999999999905,21.8,48.0,64.0,1.4
0 days 01:46:04.504000,STR,0 days 00:01:22.634000,7.0,2.0,MEDIUM,7.0,1,True,82.634,83.114,82.634,0.0,-0.3430000000000035,21.8,48.0,64.0,1.4
0 days 01:46:05.844000,ALO,0 days 00:01:22.866000,7.0,2.0,MEDIUM,7.0,1,False,82.866,83.05066666666666,82.866,0.0,0.15500000000000114,21.8,48.0,64.0,1.4
0 days 01:46:06.147000,RIC,0 days 00:01:22.747000,7.0,2.0,HARD,7.0,1,True,82.747,83.07966666666667,82.747,0.0,-0.0010000000000047748,21.8,48.0,64.0,1.4
0 days 01:46:06.584000,BOT,0 days 00:01:22.832000,7.0,2.0,MEDIUM,6.0,1,True,82.832,83.112,82.868,-0.036000000000001364,-0.036000000000001364,21.8,48.0,64.0,1.4
0 days 01:46:07.177000,SAR,0 days 00:01:22.899000,7.0,2.0,HARD,7.0,1,False,82.899,83.104,82.899,0.0,0.1599999999999966,21.8,48.0,64.0,1.4
0 days 01:46:07.568000,ZHO,0 days 00:01:22.934000,7.0,2.0,HARD,6.0,1,False,82.934,83.02566666666667,82.649,0.2849999999999966,0.2849999999999966,21.8,48.0,64.0,1.4
0 days 01:47:12.399000,LEC,0 days 00:01:21.030000,8.0,2.0,HARD,7.0,1,False,81.03,81.05166666666666,80.98,0.04999999999999716,0.04999999999999716,21.9,47.9,63.0,0.9
0 days 01:47:13.390000,PIA,0 days 00:01:21.058000,8.0,2.0,HARD,8.0,1,False,81.05799999999999,81.07333333333332,80.80799999999999,0.25,0.25,21.9,47.9,63.0,0.9
0 days 01:47:13.647000,SAI,0 days 00:01:20.272000,8.0,2.0,HARD,7.0,1,True,80.27199999999999,80.967,81.46600000000001,-1.1940000000000168,-1.1940000000000168,21.9,47.9,63.0,0.9
0 days 01:47:15.385000,NOR,0 days 00:01:20.820000,8.0,2.0,HARD,8.0,1,True,80.82,81.15066666666667,80.828,-0.008000000000009777,-0.008000000000009777,21.9,47.9,63.0,0.9
0 days 01:47:19.334000,RUS,0 days 00:01:21.612000,8.0,2.0,MEDIUM,7.0,1,False,81.612,82.01299999999999,81.41499999999999,0.19700000000000273,0.19700000000000273,21.9,47.9,63.0,0.9
0 days 01:47:21.546000,VER,0 days 00:01:21.657000,8.0,2.0,MEDIUM,7.0,1,False,81.657,82.24233333333333,81.283,0.3739999999999952,0.3739999999999952,21.9,47.9,63.0,0.9
0 days 01:47:23.147000,HAM,0 days 00:01:21.612000,8.0,2.0,MEDIUM,7.0,1,False,81.612,82.14800000000001,81.463,0.1490000000000009,0.1490000000000009,21.9,47.9,63.0,0.9
0 days 01:47:23.983000,TSU,0 days 00:01:21.651000,8.0,2.0,HARD,8.0,1,True,81.651,82.23366666666668,81.826,-0.17499999999999716,-0.17499999999999716,21.9,47.9,63.0,0.9
0 days 01:47:24.439000,ALB,0 days 00:01:21.536000,8.0,2.0,HARD,7.0,1,True,81.536,82.28833333333334,81.913,-0.37699999999999534,-0.37699999999999534,21.9,47.9,63.0,0.9
